method,group_field,group_value,sample_count,positive_count,negative_count,precision,recall,f1,fpr,specificity,accuracy,balanced_accuracy,TP,FP,TN,FN
wazuh_standard,cv_fold,0,60,30,30,0.789474,0.5,0.612245,0.133333,0.866667,0.683333,0.683333,15,4,26,15
lexical_pipeline,cv_fold,0,60,30,30,0.866667,0.866667,0.866667,0.133333,0.866667,0.866667,0.866667,26,4,26,4
hybrid_or,cv_fold,0,60,30,30,0.818182,0.9,0.857143,0.2,0.8,0.85,0.85,27,6,24,3
hybrid_and,cv_fold,0,60,30,30,0.875,0.466667,0.608696,0.066667,0.933333,0.7,0.7,14,2,28,16
wazuh_standard,cv_fold,1,60,30,30,0.545455,0.4,0.461538,0.333333,0.666667,0.533333,0.533333,12,10,20,18
lexical_pipeline,cv_fold,1,60,30,30,0.916667,0.733333,0.814815,0.066667,0.933333,0.833333,0.833333,22,2,28,8
hybrid_or,cv_fold,1,60,30,30,0.736842,0.933333,0.823529,0.333333,0.666667,0.8,0.8,28,10,20,2
hybrid_and,cv_fold,1,60,30,30,0.75,0.2,0.315789,0.066667,0.933333,0.566667,0.566667,6,2,28,24
wazuh_standard,cv_fold,2,60,30,30,0.368421,0.233333,0.285714,0.4,0.6,0.416667,0.416667,7,12,18,23
lexical_pipeline,cv_fold,2,60,30,30,0.818182,0.9,0.857143,0.2,0.8,0.85,0.85,27,6,24,3
hybrid_or,cv_fold,2,60,30,30,0.666667,0.933333,0.777778,0.466667,0.533333,0.733333,0.733333,28,14,16,2
hybrid_and,cv_fold,2,60,30,30,0.6,0.2,0.3,0.133333,0.866667,0.533333,0.533333,6,4,26,24
wazuh_standard,cv_fold,3,60,30,30,0.625,0.333333,0.434783,0.2,0.8,0.566667,0.566667,10,6,24,20
lexical_pipeline,cv_fold,3,60,30,30,0.916667,0.733333,0.814815,0.066667,0.933333,0.833333,0.833333,22,2,28,8
hybrid_or,cv_fold,3,60,30,30,0.764706,0.866667,0.8125,0.266667,0.733333,0.8,0.8,26,8,22,4
hybrid_and,cv_fold,3,60,30,30,1.0,0.2,0.333333,0.0,1.0,0.6,0.6,6,0,30,24
wazuh_standard,cv_fold,4,60,30,30,0.833333,0.333333,0.47619,0.066667,0.933333,0.633333,0.633333,10,2,28,20
lexical_pipeline,cv_fold,4,60,30,30,0.888889,0.533333,0.666667,0.066667,0.933333,0.733333,0.733333,16,2,28,14
hybrid_or,cv_fold,4,60,30,30,0.818182,0.6,0.692308,0.133333,0.866667,0.733333,0.733333,18,4,26,12
hybrid_and,cv_fold,4,60,30,30,1.0,0.266667,0.421053,0.0,1.0,0.633333,0.633333,8,0,30,22
