method,metric,estimate,ci_lower_95,ci_upper_95,iterations,resampling_unit
wazuh_standard,precision,0.613636,0.47572,0.744186,2000,evaluation_group_stratified_by_label
wazuh_standard,recall,0.36,0.253333,0.466667,2000,evaluation_group_stratified_by_label
wazuh_standard,f1,0.453782,0.337662,0.55607,2000,evaluation_group_stratified_by_label
wazuh_standard,fpr,0.226667,0.133333,0.32,2000,evaluation_group_stratified_by_label
wazuh_standard,accuracy,0.566667,0.486667,0.64,2000,evaluation_group_stratified_by_label
lexical_pipeline,precision,0.875969,0.802808,0.948718,2000,evaluation_group_stratified_by_label
lexical_pipeline,recall,0.753333,0.666667,0.833333,2000,evaluation_group_stratified_by_label
lexical_pipeline,f1,0.810036,0.746479,0.869603,2000,evaluation_group_stratified_by_label
lexical_pipeline,fpr,0.106667,0.04,0.173666,2000,evaluation_group_stratified_by_label
lexical_pipeline,accuracy,0.823333,0.766667,0.876667,2000,evaluation_group_stratified_by_label
hybrid_or,precision,0.751479,0.683616,0.82716,2000,evaluation_group_stratified_by_label
hybrid_or,recall,0.846667,0.766667,0.92,2000,evaluation_group_stratified_by_label
hybrid_or,f1,0.796238,0.734824,0.851741,2000,evaluation_group_stratified_by_label
hybrid_or,fpr,0.28,0.173333,0.386667,2000,evaluation_group_stratified_by_label
hybrid_or,accuracy,0.783333,0.716667,0.846667,2000,evaluation_group_stratified_by_label
hybrid_and,precision,0.833333,0.68,0.962281,2000,evaluation_group_stratified_by_label
hybrid_and,recall,0.266667,0.173333,0.366834,2000,evaluation_group_stratified_by_label
hybrid_and,f1,0.40404,0.285714,0.520567,2000,evaluation_group_stratified_by_label
hybrid_and,fpr,0.053333,0.013333,0.106667,2000,evaluation_group_stratified_by_label
hybrid_and,accuracy,0.606667,0.55,0.663333,2000,evaluation_group_stratified_by_label
