method,group_field,group_value,sample_count,positive_count,negative_count,precision,recall,f1,fpr,specificity,accuracy,balanced_accuracy,TP,FP,TN,FN,threshold,selection_max_fpr,eligible_under_max_fpr,selected
lexical_pipeline,all,all,300,150,150,0.605691,0.993333,0.752525,0.646667,0.353333,0.673333,0.673333,149,97,53,1,1,0.1,0,0
lexical_pipeline,all,all,300,150,150,0.787234,0.986667,0.87574,0.266667,0.733333,0.86,0.86,148,40,110,2,2,0.1,0,0
lexical_pipeline,all,all,300,150,150,0.88,0.88,0.88,0.12,0.88,0.88,0.88,132,18,132,18,3,0.1,0,0
lexical_pipeline,all,all,300,150,150,0.888889,0.746667,0.811594,0.093333,0.906667,0.826667,0.826667,112,14,136,38,4,0.1,1,0
lexical_pipeline,all,all,300,150,150,0.931034,0.72,0.81203,0.053333,0.946667,0.833333,0.833333,108,8,142,42,5,0.1,1,1
lexical_pipeline,all,all,300,150,150,0.963303,0.7,0.810811,0.026667,0.973333,0.836667,0.836667,105,4,146,45,6,0.1,1,0
lexical_pipeline,all,all,300,150,150,1.0,0.593333,0.74477,0.0,1.0,0.796667,0.796667,89,0,150,61,7,0.1,1,0
lexical_pipeline,all,all,300,150,150,1.0,0.473333,0.642534,0.0,1.0,0.736667,0.736667,71,0,150,79,8,0.1,1,0
lexical_pipeline,all,all,300,150,150,1.0,0.386667,0.557692,0.0,1.0,0.693333,0.693333,58,0,150,92,9,0.1,1,0
lexical_pipeline,all,all,300,150,150,1.0,0.3,0.461538,0.0,1.0,0.65,0.65,45,0,150,105,10,0.1,1,0
lexical_pipeline,all,all,300,150,150,1.0,0.266667,0.421053,0.0,1.0,0.633333,0.633333,40,0,150,110,11,0.1,1,0
lexical_pipeline,all,all,300,150,150,1.0,0.22,0.360656,0.0,1.0,0.61,0.61,33,0,150,117,12,0.1,1,0
lexical_pipeline,all,all,300,150,150,1.0,0.18,0.305085,0.0,1.0,0.59,0.59,27,0,150,123,13,0.1,1,0
lexical_pipeline,all,all,300,150,150,1.0,0.126667,0.224852,0.0,1.0,0.563333,0.563333,19,0,150,131,14,0.1,1,0
lexical_pipeline,all,all,300,150,150,1.0,0.046667,0.089172,0.0,1.0,0.523333,0.523333,7,0,150,143,15,0.1,1,0
lexical_pipeline,all,all,300,150,150,1.0,0.033333,0.064516,0.0,1.0,0.516667,0.516667,5,0,150,145,16,0.1,1,0
lexical_pipeline,all,all,300,150,150,,0.0,,0.0,1.0,0.5,0.5,0,0,150,150,17,0.1,1,0
lexical_pipeline,all,all,300,150,150,,0.0,,0.0,1.0,0.5,0.5,0,0,150,150,18,0.1,1,0
lexical_pipeline,all,all,300,150,150,,0.0,,0.0,1.0,0.5,0.5,0,0,150,150,19,0.1,1,0
lexical_pipeline,all,all,300,150,150,,0.0,,0.0,1.0,0.5,0.5,0,0,150,150,20,0.1,1,0
lexical_pipeline,all,all,300,150,150,,0.0,,0.0,1.0,0.5,0.5,0,0,150,150,21,0.1,1,0
lexical_pipeline,all,all,300,150,150,,0.0,,0.0,1.0,0.5,0.5,0,0,150,150,22,0.1,1,0
lexical_pipeline,all,all,300,150,150,,0.0,,0.0,1.0,0.5,0.5,0,0,150,150,23,0.1,1,0
lexical_pipeline,all,all,300,150,150,,0.0,,0.0,1.0,0.5,0.5,0,0,150,150,24,0.1,1,0
